,lon,lat,year,month,"('prec',)","('temp',)"
20753,-40.0,-7.5,2010,6,-0.7045187913557026,0.05404840544812864
14370,-40.75,-7.25,1988,7,-0.882410110902329,0.33299430201732577
11352,-44.75,-23.0,2009,1,1.7190454935505532,-0.327841593317511
17243,-40.25,-8.25,1989,12,1.9310599751991535,0.48056641799254207
22994,-39.75,-7.25,1993,3,0.30001381550810974,0.6886189093674372
4733,-45.75,-23.0,2001,6,-0.7060558707296654,-1.456348169533201
5424,-45.5,-23.5,1991,1,1.9354662694045135,-0.19041457257061095
2298,-46.0,-23.5,2002,7,-0.5173025236070353,-1.652244755779368
7921,-45.25,-23.25,1995,2,2.6402683983455826,-0.1857879632082476
12496,-40.75,-8.5,2002,5,-0.8689862843697207,0.9974200002790821
7655,-45.25,-23.5,2006,12,1.3087477726607537,0.08607829199848908
2351,-46.0,-23.5,2006,12,1.3976934324340669,-0.12134988582389127
1360,-46.25,-23.25,1992,5,0.04362897593111716,-1.206875075255535
6133,-45.5,-23.0,1982,2,0.9257075926692276,-0.3034654936287727
19113,-40.25,-7.25,2009,10,-0.8219516555264594,1.4084524354147019
15992,-40.5,-7.75,1987,9,-0.7476594857849248,1.1712418998309972
23085,-39.75,-7.25,2000,10,-0.893477082394861,1.429523017811998
2584,-46.0,-23.25,1992,5,0.04362897593111716,-1.206875075255535
5544,-45.5,-23.5,2001,1,0.3745109291661727,0.1730919933799771
394,-46.5,-23.5,2013,11,0.7018063638619819,-0.4047154020835846
23327,-39.5,-8.5,1986,12,-0.7513484762824356,1.4367806628599598
25019,-39.5,-7.5,1991,12,-0.8907103395217281,1.0245776398133821
2105,-46.0,-23.5,1986,6,-0.6295093179063187,-1.6967375016217754
5542,-45.5,-23.5,2000,11,1.546175299958872,-0.3419770926689687
12691,-40.75,-8.25,1984,8,-0.9185827121695865,0.7515965389771531
10240,-45.0,-22.75,1984,5,-0.03117555360173837,-1.0987127522827016
22992,-39.75,-7.25,1993,1,-0.3761986370772517,0.9694819688041195
6431,-45.5,-23.0,2006,12,1.5603164301993295,-0.28047180252057724
25289,-39.5,-7.5,2014,6,-0.8783112325717616,0.04372642137990847
1453,-46.25,-23.25,2000,2,1.3660295973304337,-0.41906941117843344
26789,-39.25,-8.0,2003,6,-0.916020913212982,0.7029625132364085
27832,-39.25,-7.25,1988,5,-0.6167003231232955,0.12392730111959645
11920,-44.75,-22.5,1988,5,0.2626115507416819,-1.5143494998681
25060,-39.5,-7.5,1995,5,0.061151680794292854,-0.19103888612312578
21327,-39.75,-8.5,1990,4,-0.04326724467691235,0.7554594790833294
20528,-40.0,-7.5,1991,9,-0.9242186698741168,0.7448955735135111
4425,-45.75,-23.25,2009,10,0.6261820586630129,-0.7042246262886727
12678,-40.75,-8.25,1983,7,-0.9073107967605261,0.6576373493239732
25822,-39.25,-8.5,1990,11,-0.6277672946158276,1.508883675562255
15627,-40.5,-8.0,1991,4,-0.30590287370802033,0.6387726748122243
23635,-39.5,-8.5,2012,8,-0.8342482905181617,0.3781009561863708
17278,-40.25,-8.25,1992,11,-0.701956992399098,1.5942013251260767
18350,-40.25,-7.75,2014,3,1.2639675268993045,0.08639044877475896
17562,-40.25,-8.0,1982,7,-0.8390644725565785,0.41922761145815196
19397,-40.0,-8.5,1999,6,-0.9157134973381894,0.7690877236733831
27794,-39.25,-7.25,1985,3,2.2636839517247,0.18245669666765651
18155,-40.25,-7.75,1997,12,-0.30846467266462496,0.9868066698863481
10219,-45.0,-22.75,1982,8,-0.1945158550748505,-1.4846165669296898
12394,-40.75,-8.5,1993,11,-0.4917870059992532,1.4624347472553014
20780,-40.0,-7.5,2012,9,-0.9193000158774358,0.5347464291247768
11812,-44.75,-22.75,2013,5,-0.3941312297734842,-1.5788879133591154
11030,-44.75,-23.0,1982,3,2.427536612989133,-0.6930650215374974
105,-46.5,-23.5,1989,10,-0.11458772762878554,-1.4302232486669915
22233,-39.75,-7.75,1997,10,-0.6294068459480545,1.2054724916539774
18231,-40.25,-7.75,2004,4,-0.18734281799635746,-0.09408819403083417
11304,-44.75,-23.0,2005,1,0.9802226744657744,-0.23021456154331307
15373,-40.5,-8.25,2004,2,0.7110288401057587,0.25814395088307746
21133,-40.0,-7.25,2008,2,0.5233002125657703,0.27199187131940644
7914,-45.25,-23.25,1994,7,-0.49188947795751736,-1.8152686321792675
24683,-39.5,-7.75,1997,12,-0.144612011400192,0.9082992406578765
19051,-40.25,-7.25,2004,8,-0.9228865344166824,0.8173055403791246
17603,-40.25,-8.0,1985,12,0.926527368335341,0.4895409253099022
18286,-40.25,-7.75,2008,11,-0.897268544850636,1.368488564134475
10811,-45.0,-22.5,1997,12,1.1654919750074222,-0.24792945859586094
19856,-40.0,-8.25,2003,9,-0.9147912497138116,1.0935850978178092
14391,-40.75,-7.25,1990,4,0.5768930467379396,0.39177082167993565
12558,-40.75,-8.5,2007,7,-0.9079256285101112,0.4957840608350298
17782,-40.25,-8.0,2000,11,-0.3446372739318824,1.3263135823557735
18145,-40.25,-7.75,1997,2,-0.07933737398590568,-0.009271667577460405
27477,-39.25,-7.5,1992,10,-0.9172505767121523,0.9082992406578765
13496,-40.75,-7.75,1983,9,-0.9147912497138116,1.3569569725582615
25507,-39.5,-7.25,1998,8,-0.9089503480927531,1.0286356779047185
7076,-45.5,-22.5,1992,9,0.5173568389864477,-1.61480675308036
20177,-40.0,-7.75,1996,6,-0.8388595286400501,-0.29923762738654464
9387,-45.0,-23.25,1981,4,0.5714620329499377,-1.116125897784858
17542,-40.25,-8.25,2014,11,-0.4232332659205129,1.4096958599067815
14195,-40.75,-7.5,2007,12,-0.5643371524502966,1.2706352186975074
16981,-40.25,-8.5,2002,2,-0.6189547062051076,0.626722680018289
23250,-39.75,-7.25,2014,7,-0.7719453398935369,0.5923965830863928
16486,-40.5,-7.5,1994,11,-0.8486968366334119,1.56436433992891
20251,-40.0,-7.75,2002,8,-0.9122294507572071,0.15248964614704977
15920,-40.5,-7.75,1981,9,-0.9162258571295103,0.8928708919914002
12964,-40.75,-8.25,2007,5,-0.6099371738778592,0.7769592770479811
26604,-39.25,-8.0,1988,1,0.412732969598714,1.1545909371241734
12536,-40.75,-8.5,2005,9,-0.9202222635018136,1.1081003879137319
26570,-39.25,-8.0,1985,3,1.700703013021264,0.328233911179401
26541,-39.25,-8.0,1982,10,-0.8764667373230063,1.3245603017957897
5593,-45.5,-23.5,2005,2,-0.038860950471552295,-0.19909364579617686
17707,-40.25,-8.0,1994,8,-0.9134591142563773,0.5618052190132712
5660,-45.5,-23.5,2010,9,0.43230511362717344,-0.7923542881452521
17894,-40.25,-8.0,2010,3,0.0065341270394818915,1.2550273798846772
3821,-45.75,-23.5,1993,6,0.01001817362046424,-1.5927112559343273
2301,-46.0,-23.5,2002,10,0.1355463224940917,0.05408222243221412
7323,-45.5,-22.5,2013,4,-0.11837919008456045,-1.284583903398113
25982,-39.25,-8.5,2004,3,-0.10956660167384048,0.5626636501479583
6114,-45.5,-23.25,2014,7,-0.5452773682131581,-1.6513863246446567
15365,-40.5,-8.25,2003,6,-0.9211445111261912,0.6762705075600247
10673,-45.0,-22.5,1986,6,-0.8538204345466212,-2.214449515043026
20917,-40.0,-7.25,1990,2,-0.044599380134346715,0.45513121495577447
24462,-39.5,-8.0,2013,7,-0.7276774539234087,0.4244562374604455
25200,-39.5,-7.5,2007,1,-0.22658957801154056,0.8123110319590283
26676,-39.25,-8.0,1994,1,0.5328301046843397,0.8951106168610329
24196,-39.5,-8.0,1991,5,-0.7158931787230273,0.7878847642169601
1899,-46.25,-23.0,2003,4,-0.3890076318602749,-0.8320294144074409
