,Yobs,Yest_rf,Yest_sw,Yest_ann
1300,60.8201111383121,60.14391048044074,66.52736729467385,65.9810412840726
555,60.656695765022,57.62047821803552,60.292843925875815,60.422924928395446
4963,118.551644914561,114.35406515751284,109.8181057504665,110.18557442952954
342,41.8339317371466,45.02712020315497,45.5592701371922,47.188556994472606
11454,51.8492883413641,51.22254041495536,52.22406080075287,52.680885269283976
3499,90.4532453170846,89.4042956525012,82.45686293866213,81.9887109627972
1987,74.4506338935352,73.46075838420296,80.05054649426789,80.77214427723322
3701,107.247128878631,106.66661414675676,103.09488517489653,103.5784861863932
2320,35.9865403775071,38.29100852043269,35.08198442457269,35.36297235034374
9283,71.2576382490002,71.00212410354061,79.42400101744072,79.78623709424176
1649,69.1661851474189,69.53089694608985,74.73893568172707,76.2048681475386
249,64.65424397449,63.993226596162486,59.42242138111728,60.43537769769921
10035,72.1099129607304,72.20608921791893,71.75736946583372,71.42897279546617
1297,64.4060576067761,63.91197146806489,67.97817713413589,67.38188473942739
662,72.346404341253,68.86007835562914,78.96461279664214,79.57663564708639
7246,43.5492257818747,44.97123567947837,44.184480750940985,45.48438297424548
1436,131.156102585751,125.10219045484097,115.16633029038316,115.21206487365464
3097,117.528399230331,114.78414766680501,111.85588948483776,111.59350496296577
2784,45.1068776709595,44.616383738775816,46.43261821379514,46.71704530597856
8986,64.5841239522267,65.1074777870282,73.68002217347295,72.3724660054155
9418,99.3432641846553,98.81040682550089,99.56443145822456,98.15797184339783
7749,59.5050398160016,61.60095743029212,61.61846129885995,60.48786969447758
2820,38.52278479944,38.8039517446806,37.50280130245588,38.05420437238547
11741,53.9463686092279,54.75581527156572,54.965468093649605,54.51022732935928
4030,55.3814754229608,55.972326837857665,57.09618374802423,57.11333573312834
7243,64.5228556129802,65.96763767025952,65.1073912808565,66.25437575025501
10619,91.1232435662774,91.84339424075584,93.27310761997815,93.63113904277736
600,41.1808308878167,43.6238355618103,43.983822161354645,44.44047805587172
11762,37.4245045389395,40.39485132755739,36.248440394507114,35.94263490815649
405,94.7299179669377,93.21138552227762,94.83925404565403,96.60483374451462
4783,103.355430124371,101.15989359358711,103.0323423883425,102.49252381373446
1463,83.3724085746361,86.49871696353705,83.06130714606651,83.40534664584277
8234,82.2386376863218,81.86350319648885,89.06322949660883,88.0551895838513
11747,71.0140956457027,73.87374902261406,71.75106666765008,71.24541809985578
4847,48.3272229824672,50.47614335096729,52.32377093788614,52.32575566670732
4989,62.9012317748729,63.63183141165213,68.52437557309082,69.23766827571183
11030,67.7559001378221,66.71445669377547,76.21574195838991,76.70605085343198
9286,75.7606518866316,76.64853715263494,84.47306465564922,84.81275394423585
9601,64.0233902008079,63.79112752018746,62.48681602980205,62.182928912094326
3624,45.7467971802268,43.74594098233371,38.84167975581026,39.2513647019465
5487,61.8955144561151,63.70117017461231,62.890183706249076,63.929068068305355
8424,96.7997359675322,95.20540143874227,94.40009206836184,94.45502503884529
10911,68.9883141053905,71.14614853875666,78.33644934072429,78.12642566357056
1480,68.7500606468691,66.76545650478026,73.39946649995187,73.84287646271162
6218,97.9098120816991,95.252377659138,100.87474125013256,100.8968352139774
7301,50.2071883420315,47.72890419295283,49.76817869309969,48.71770499743627
589,40.8927653688875,41.10128831160577,41.74741432330442,42.18601675905677
5126,74.0035035367661,74.8270734326101,67.59497533159814,66.53233347446405
4,56.7136407759556,53.420763306869794,56.125238635605875,55.718130305472755
4949,114.056042848252,113.98598131676599,102.97364994123735,103.31261423198623
2262,52.4987393646539,50.507042125595206,49.785791908055586,49.66919286801851
10898,64.2498342614035,65.10888208810054,72.31879197647629,72.04639504524596
10604,59.9899845237528,59.49925267432691,61.90279535514016,62.175413002848586
7531,60.05133074987,62.19686959962902,65.3702882751909,65.58830083354098
7831,73.9317936715691,74.97580026930305,74.14433675590415,73.42835036840154
2025,49.862796291066,50.46930264884259,54.72782442015014,55.807363282370375
