,lon,lat,year,month,"('prec',)","('temp',)"
7962,-60.75,-1.5,1998,7,-0.3031109791839737,-0.31044364396140556
12360,-60.25,-2.25,1991,1,0.4238543676491314,-0.7666541056569139
5670,-61.0,-1.25,2011,7,-0.9565674835245056,-0.38501650789242
12570,-60.25,-2.25,2008,7,-0.7157834032725693,-0.8847800287745071
9532,-60.5,-2.25,1993,5,0.1721392316922968,-0.3173369339045598
8264,-60.75,-1.25,1989,9,-0.329686481585791,-0.37565834457554087
13787,-60.25,-1.5,2007,12,0.4343842836951346,-0.6557348038435709
9271,-60.5,-2.5,2005,8,-1.639507752793846,3.2161008247084784
13230,-60.25,-1.75,1995,7,-0.25266766707788296,-0.5974551706874102
4015,-61.0,-2.25,2009,8,-1.231348149867823,1.0820009245654123
4336,-61.0,-2.0,2002,5,0.6286361635152098,0.3180990663142399
9052,-60.5,-2.5,1987,5,0.01960587639733836,0.016674296979645477
3941,-61.0,-2.25,2003,6,0.03334490971450428,-0.003963795335193671
3642,-61.0,-2.5,2012,7,-1.1841139550328952,-0.37185659072810284
16904,-60.0,-1.25,1995,9,-1.0612649344961929,0.08377943013886806
17128,-60.0,-1.25,2014,5,-0.6998381018314789,-0.6905145849206312
11277,-60.5,-1.25,2002,10,-0.388152586869789,0.12884692423716457
13794,-60.25,-1.5,2008,7,-0.6312432201603734,-0.5889952239389876
15488,-60.0,-2.25,2013,9,-0.7184910959701128,-0.11825663146915844
7223,-60.75,-2.0,2004,12,0.10384520476536277,0.7398430782936836
6909,-60.75,-2.25,2012,10,-1.4167749571922006,2.440605706098254
8983,-60.5,-2.5,1981,8,-0.9840455501588373,1.00680139791231
6999,-60.75,-2.0,1986,4,2.2570626088008994,-0.5582678617981804
15827,-60.0,-2.0,2007,12,0.519125036636778,-0.9881793779226079
10709,-60.5,-1.5,1989,6,0.7651239324543542,-1.0759852696687535
12845,-60.25,-2.0,1997,6,-1.073599979007225,-0.8075751814106831
1616,-61.25,-2.0,2013,9,-0.9807361479729506,1.9759248532755926
11381,-60.5,-1.25,2011,6,-0.7222016378148949,-0.6851879517827453
1235,-61.25,-2.0,1981,12,0.14195347236042152,0.04299413130818664
2492,-61.25,-1.25,1984,9,0.35676375969888346,-0.8571128695934226
8543,-60.75,-1.25,2012,12,-0.12761237841725634,-0.3001037090466258
1447,-61.25,-2.0,1999,8,-1.1583407319488686,0.5201977941944469
9829,-60.5,-2.0,1984,2,2.0755469131507516,-1.168841918894842
2400,-61.25,-1.5,2011,1,0.8995057181842975,-0.6319216204034749
4777,-61.0,-1.75,2005,2,-0.9733150642833867,1.4388965352123584
5507,-61.0,-1.25,1997,12,-1.231448434782547,1.514711534181824
6257,-60.75,-2.5,1992,6,-1.007712790033663,0.22106034379557268
5369,-61.0,-1.25,1986,6,0.43368228929206776,-1.290324809387561
2615,-61.25,-1.25,1994,12,-0.15258332218349224,-0.14531801668561173
14844,-60.0,-2.5,1994,1,1.74500783422098,-0.7769940405717938
13409,-60.25,-1.75,2010,6,-0.30481582273427915,-0.134121642717289
10555,-60.5,-1.75,2010,8,-1.28038747316778,0.004141042537412849
14303,-60.0,-2.75,1982,12,0.45363898732211144,-0.28631712916021723
7404,-60.75,-1.75,1986,1,0.38053128448843326,-1.3619836916607673
2676,-61.25,-1.25,2000,1,0.26540420238546675,-1.0050992714195497
11689,-60.25,-2.75,2003,2,-0.24574800796193813,0.25699945090853826
4599,-61.0,-1.75,1990,4,2.130202191675244,-0.09753498412477864
9990,-60.5,-2.0,1997,7,-1.4209869236106016,0.1980931550302896
6359,-60.75,-2.5,2000,12,0.03785773087707719,0.4735114213973385
7434,-60.75,-1.75,1988,7,-0.22669387416440875,-1.1075586264843735
14979,-60.0,-2.5,2005,4,-0.08499128965962499,-0.08652660897309057
980,-61.25,-2.25,1994,9,-0.5059873616702992,0.9893801742376412
15148,-60.0,-2.25,1985,5,1.980877953651448,-1.2178512655756286
12713,-60.25,-2.0,1986,6,0.020909580288748505,-1.5538782615492823
7843,-60.75,-1.5,1988,8,-1.0433139347606257,-0.3565033540364259
2296,-61.25,-1.5,2002,5,1.3436676054961785,-0.24934402855570395
15623,-60.0,-2.0,1990,12,0.50428286925765,-0.5322822475880917
13014,-60.25,-2.0,2011,7,-1.078614224743417,-0.7616408038801203
1263,-61.25,-2.0,1984,4,1.2764767126312069,-0.28208715578595933
12378,-60.25,-2.25,1992,7,-1.147509961158694,-1.1166452359549772
8540,-60.75,-1.25,2012,9,-1.1546301901040865,-0.18883974273610016
8505,-60.75,-1.25,2009,10,-1.125146425175278,1.6613506111554077
566,-61.25,-2.5,1994,3,1.1829108871938652,-0.5579754191945484
13273,-60.25,-1.75,1999,2,1.471430586854349,-0.7198782096138068
1218,-61.25,-2.25,2014,7,-1.105891721548301,0.436224989431833
14977,-60.0,-2.5,2005,2,0.03665431190039108,0.05648976064504923
4079,-61.0,-2.25,2014,12,-0.33530243681032595,1.2314599837884403
6537,-60.75,-2.25,1981,10,-0.9111384171546068,0.8545223564397445
5167,-61.0,-1.5,2003,8,-0.521531523452494,-0.03753202848280523
1921,-61.25,-1.75,2005,2,-0.9733150642833867,1.4388965352123584
2131,-61.25,-1.5,1988,8,-1.0684854483563093,0.0476941017240847
6246,-60.75,-2.5,1991,7,-0.3562619839876083,-0.4194829576083915
9807,-60.5,-2.0,1982,4,1.9093748094533511,-0.8240877441382651
13327,-60.25,-1.75,2003,8,-0.5377776796377559,-0.01121219415426061
